,CenterLatitude,CenterLongitude
765,54.16895,12.10125
766,54.17495,12.09775
767,54.57845,11.49925
768,55.21015,11.22975
769,56.97885,8.92325
770,54.56165,11.24375
771,55.21085,11.22975
772,54.57845,11.50275
773,54.17855,12.09425
774,54.17545,12.09425
775,54.17575,12.09425
776,54.17605,12.09425
777,54.17125,12.09775
778,55.20315,11.25075
779,55.20175,11.25075
780,55.20155,11.24725
781,55.20185,11.24725
782,55.20265,11.24375
783,54.16955,12.09775
784,54.16985,12.09775
785,55.20355,11.24375
786,55.47825,7.84875
787,54.17115,12.09775
788,55.05485,8.50325
789,55.20465,11.24025
790,55.05495,8.50325
791,55.20515,11.24025
792,55.47855,7.84525
793,55.20535,11.24025
794,54.17185,12.09775
795,54.17245,12.09775
796,54.17275,12.09775
797,54.17305,12.09775
798,54.17315,12.09775
799,54.17815,12.09425
800,54.17675,12.09425
801,54.17735,12.09425
802,54.17765,12.09425
803,55.08645,8.57325
804,55.20745,11.23675
805,54.18015,12.09425
806,54.69265,8.57675
807,54.69285,8.57675
808,56.04565,12.63675
809,56.04425,12.64025
810,56.04375,12.64025
811,56.04275,12.64025
812,56.04225,12.64375
813,56.04115,12.64375
814,56.04035,12.64375
815,56.03955,12.64375
816,56.03855,12.64725
817,56.03815,12.64725
818,56.97955,8.91975
819,54.55095,11.26475
820,54.69275,8.58025
821,54.17885,12.09425
822,54.17915,12.09425
823,54.17945,12.09425
824,54.17525,12.09425
825,54.57495,11.20525
826,54.57435,11.20525
827,54.57385,11.20875
828,54.57345,11.20875
829,54.57275,11.21225
830,54.57235,11.21225
831,54.57195,11.21575
832,54.57145,11.21575
833,54.17345,12.09775
834,54.17375,12.09775
835,54.17405,12.09775
836,56.97665,8.92325
837,55.20835,11.23325
838,54.56365,11.24375
839,54.57105,11.21925
840,54.57055,11.21925
841,54.56995,11.22275
842,54.56955,11.22275
843,54.56905,11.22625
844,54.56855,11.22625
845,54.56815,11.22975
846,54.56755,11.22975
847,54.56705,11.23325
848,54.56655,11.23675
849,54.56555,11.23675
850,54.56535,11.24025
851,54.56455,11.24025
